company_id,from_year,to_year,previous_pattern,current_pattern
DIVISLAB,Mar 2020,Mar 2021,Reinvestor,Liquidating Assets
DIVISLAB,Mar 2021,Mar 2022,Liquidating Assets,Reinvestor
DLF,Mar 2015,Mar 2016,Liquidating Assets,Reinvestor
DLF,Mar 2016,Mar 2017,Reinvestor,Distress Signal
DLF,Mar 2017,Mar 2018,Distress Signal,Reinvestor
DLF,Mar 2018,Mar 2019,Reinvestor,Cash Accumulator
DLF,Mar 2019,Mar 2020,Cash Accumulator,Liquidating Assets
DLF,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
DLF,Mar 2023,Mar 2024,Reinvestor,Growth Funded by Debt
DMART,Mar 2017,Mar 2018,Growth Funded by Debt,Liquidating Assets
DMART,Mar 2018,Mar 2019,Liquidating Assets,Growth Funded by Debt
DMART,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
EICHERMOT,Mar 2016,Mar 2017,Reinvestor,Growth Funded by Debt
EICHERMOT,Mar 2017,Mar 2018,Growth Funded by Debt,Reinvestor
GAIL,Mar 2013,Mar 2014,Growth Funded by Debt,Reinvestor
GAIL,Mar 2019,Mar 2020,Reinvestor,Growth Funded by Debt
GAIL,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
GAIL,Mar 2022,Mar 2023,Reinvestor,Growth Funded by Debt
GAIL,Mar 2023,Mar 2024,Growth Funded by Debt,Reinvestor
GODREJCP,Mar 2013,Mar 2014,Growth Funded by Debt,Reinvestor
GODREJCP,Mar 2016,Mar 2017,Reinvestor,Growth Funded by Debt
GODREJCP,Mar 2017,Mar 2018,Growth Funded by Debt,Reinvestor
GODREJCP,Mar 2018,Mar 2019,Reinvestor,Liquidating Assets
GODREJCP,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
GODREJCP,Mar 2023,Mar 2024,Reinvestor,Growth Funded by Debt
GRASIM,Mar 2013,Mar 2014,Growth Funded by Debt,Reinvestor
GRASIM,Mar 2017,Mar 2018,Reinvestor,Distress Signal
GRASIM,Mar 2018,Mar 2019,Distress Signal,Mixed
GRASIM,Mar 2019,Mar 2020,Mixed,Reinvestor
GRASIM,Mar 2022,Mar 2023,Reinvestor,Mixed
HAL,Mar 2018,Mar 2019,Mixed,Distress Signal
HAL,Mar 2019,Mar 2020,Distress Signal,Growth Funded by Debt
HAL,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
HAVELLS,Mar 2018,Mar 2019,Reinvestor,Liquidating Assets
HAVELLS,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
HAVELLS,Mar 2020,Mar 2021,Reinvestor,Growth Funded by Debt
HAVELLS,Mar 2021,Mar 2022,Growth Funded by Debt,Reinvestor
HAVELLS,Mar 2022,Mar 2023,Reinvestor,Liquidating Assets
HAVELLS,Mar 2023,Mar 2024,Liquidating Assets,Reinvestor
HCLTECH,Mar 2021,Mar 2022,Reinvestor,Liquidating Assets
HCLTECH,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
HDFCBANK,Mar 2013,Mar 2014,Mixed,Growth Funded by Debt
HDFCBANK,Mar 2014,Mar 2015,Growth Funded by Debt,Mixed
HDFCBANK,Mar 2016,Mar 2017,Mixed,Reinvestor
HDFCBANK,Mar 2017,Mar 2018,Reinvestor,Growth Funded by Debt
HDFCBANK,Mar 2018,Mar 2019,Growth Funded by Debt,Mixed
HDFCBANK,Mar 2020,Mar 2021,Mixed,Reinvestor
HDFCBANK,Mar 2021,Mar 2022,Reinvestor,Mixed
HDFCBANK,Mar 2022,Mar 2023,Mixed,Growth Funded by Debt
HDFCBANK,Mar 2023,Mar 2024,Growth Funded by Debt,Liquidating Assets
HDFCLIFE,Mar 2014,Mar 2015,Pre-Revenue,Reinvestor
HDFCLIFE,Mar 2019,Mar 2020,Reinvestor,Growth Funded by Debt
HDFCLIFE,Mar 2021,Mar 2022,Growth Funded by Debt,Reinvestor
HDFCLIFE,Mar 2022,Mar 2023,Reinvestor,Growth Funded by Debt
HDFCLIFE,Mar 2023,Mar 2024,Growth Funded by Debt,Reinvestor
HEROMOTOCO,Mar 2014,Mar 2015,Reinvestor,Liquidating Assets
HEROMOTOCO,Mar 2015,Mar 2016,Liquidating Assets,Reinvestor
HEROMOTOCO,Mar 2018,Mar 2019,Reinvestor,Liquidating Assets
HEROMOTOCO,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
HINDALCO,Mar 2014,Mar 2015,Growth Funded by Debt,Reinvestor
HINDALCO,Mar 2017,Mar 2018,Reinvestor,Liquidating Assets
HINDALCO,Mar 2018,Mar 2019,Liquidating Assets,Reinvestor
HINDALCO,Mar 2019,Mar 2020,Reinvestor,Growth Funded by Debt
HINDALCO,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
HINDUNILVR,Mar 2013,Mar 2014,Liquidating Assets,Reinvestor
HINDUNILVR,Mar 2014,Mar 2015,Reinvestor,Liquidating Assets
HINDUNILVR,Mar 2015,Mar 2016,Liquidating Assets,Reinvestor
HINDUNILVR,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
HINDUNILVR,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
ICICIBANK,Mar 2014,Mar 2015,Growth Funded by Debt,Mixed
ICICIBANK,Mar 2015,Mar 2016,Mixed,Growth Funded by Debt
ICICIBANK,Mar 2016,Mar 2017,Growth Funded by Debt,Reinvestor
ICICIBANK,Mar 2017,Mar 2018,Reinvestor,Growth Funded by Debt
ICICIBANK,Mar 2018,Mar 2019,Growth Funded by Debt,Reinvestor
ICICIBANK,Mar 2019,Mar 2020,Reinvestor,Growth Funded by Debt
ICICIBANK,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
ICICIBANK,Mar 2021,Mar 2022,Reinvestor,Growth Funded by Debt
ICICIBANK,Mar 2022,Mar 2023,Growth Funded by Debt,Mixed
ICICIBANK,Mar 2023,Mar 2024,Mixed,Growth Funded by Debt
ICICIGI,Mar 2014,Mar 2015,Growth Funded by Debt,Mixed
ICICIGI,Mar 2015,Mar 2016,Mixed,Reinvestor
ICICIGI,Mar 2016,Mar 2017,Reinvestor,Growth Funded by Debt
ICICIGI,Mar 2017,Mar 2018,Growth Funded by Debt,Reinvestor
ICICIGI,Mar 2021,Mar 2022,Reinvestor,Liquidating Assets
ICICIGI,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
ICICIPRULI,Mar 2014,Mar 2015,Mixed,Reinvestor
ICICIPRULI,Mar 2015,Mar 2016,Reinvestor,Liquidating Assets
ICICIPRULI,Mar 2016,Mar 2017,Liquidating Assets,Reinvestor
ICICIPRULI,Mar 2020,Mar 2021,Reinvestor,Growth Funded by Debt
ICICIPRULI,Mar 2021,Mar 2022,Growth Funded by Debt,Reinvestor
ICICIPRULI,Mar 2023,Mar 2024,Reinvestor,Mixed
INDIGO,Mar 2014,Mar 2015,Growth Funded by Debt,Reinvestor
INDIGO,Mar 2017,Mar 2018,Reinvestor,Growth Funded by Debt
INDIGO,Mar 2018,Mar 2019,Growth Funded by Debt,Reinvestor
INDIGO,Mar 2020,Mar 2021,Reinvestor,Mixed
INDIGO,Mar 2021,Mar 2022,Mixed,Liquidating Assets
INDIGO,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
INDUSINDBK,Mar 2016,Mar 2017,Mixed,Reinvestor
INDUSINDBK,Mar 2017,Mar 2018,Reinvestor,Mixed
INDUSINDBK,Mar 2019,Mar 2020,Mixed,Distress Signal
INDUSINDBK,Mar 2020,Mar 2021,Distress Signal,Reinvestor
INDUSINDBK,Mar 2022,Mar 2023,Reinvestor,Mixed
INDUSINDBK,Mar 2023,Mar 2024,Mixed,Pre-Revenue
INFY,Mar 2014,Mar 2015,Reinvestor,Liquidating Assets
INFY,Mar 2015,Mar 2016,Liquidating Assets,Reinvestor
INFY,Mar 2017,Mar 2018,Reinvestor,Liquidating Assets
INFY,Mar 2018,Mar 2019,Liquidating Assets,Reinvestor
IOC,Mar 2013,Mar 2014,Growth Funded by Debt,Reinvestor
IOC,Mar 2018,Mar 2019,Reinvestor,Growth Funded by Debt
IOC,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
IRCTC,Mar 2015,Mar 2016,Reinvestor,Liquidating Assets
IRCTC,Mar 2018,Mar 2019,Liquidating Assets,Reinvestor
IRCTC,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
IRCTC,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
IRFC,Mar 2021,Mar 2022,Distress Signal,Mixed
IRFC,Mar 2022,Mar 2023,Mixed,Distress Signal
IRFC,Mar 2023,Mar 2024,Distress Signal,Reinvestor
ITC,Mar 2020,Mar 2021,Reinvestor,Liquidating Assets
ITC,Mar 2021,Mar 2022,Liquidating Assets,Reinvestor
ITC,Mar 2023,Mar 2024,Reinvestor,Liquidating Assets
JINDALSTEL,Mar 2015,Mar 2016,Growth Funded by Debt,Reinvestor
JINDALSTEL,Mar 2023,Mar 2024,Reinvestor,Growth Funded by Debt
JIOFIN,Mar 2023,Mar 2024,Reinvestor,Mixed
JSWENERGY,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
JSWENERGY,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
JSWENERGY,Mar 2022,Mar 2023,Reinvestor,Growth Funded by Debt
JSWSTEEL,Mar 2013,Mar 2014,Reinvestor,Growth Funded by Debt
JSWSTEEL,Mar 2014,Mar 2015,Growth Funded by Debt,Reinvestor
JSWSTEEL,Mar 2018,Mar 2019,Reinvestor,Growth Funded by Debt
JSWSTEEL,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
KOTAKBANK,Mar 2013,Mar 2014,Growth Funded by Debt,Reinvestor
KOTAKBANK,Mar 2014,Mar 2015,Reinvestor,Growth Funded by Debt
KOTAKBANK,Mar 2017,Mar 2018,Growth Funded by Debt,Mixed
KOTAKBANK,Mar 2018,Mar 2019,Mixed,Growth Funded by Debt
KOTAKBANK,Mar 2019,Mar 2020,Growth Funded by Debt,Reinvestor
KOTAKBANK,Mar 2021,Mar 2022,Reinvestor,Growth Funded by Debt
KOTAKBANK,Mar 2022,Mar 2023,Growth Funded by Debt,Mixed
KOTAKBANK,Mar 2023,Mar 2024,Mixed,Growth Funded by Debt
LICI,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
LICI,Mar 2020,Mar 2021,Reinvestor,Liquidating Assets
LICI,Mar 2021,Mar 2022,Liquidating Assets,Distress Signal
LICI,Mar 2022,Mar 2023,Distress Signal,Reinvestor
LODHA,Mar 2016,Mar 2017,Growth Funded by Debt,Reinvestor
LODHA,Mar 2017,Mar 2018,Reinvestor,Growth Funded by Debt
LODHA,Mar 2018,Mar 2019,Growth Funded by Debt,Mixed
LODHA,Mar 2019,Mar 2020,Mixed,Liquidating Assets
LODHA,Mar 2023,Mar 2024,Liquidating Assets,Growth Funded by Debt
LT,Mar 2016,Mar 2017,Mixed,Growth Funded by Debt
LT,Mar 2017,Mar 2018,Growth Funded by Debt,Distress Signal
LT,Mar 2018,Mar 2019,Distress Signal,Mixed
LT,Mar 2019,Mar 2020,Mixed,Growth Funded by Debt
LT,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
LT,Mar 2023,Mar 2024,Reinvestor,Liquidating Assets
LTIM,Mar 2013,Mar 2014,Reinvestor,Liquidating Assets
LTIM,Mar 2014,Mar 2015,Liquidating Assets,Reinvestor
M&M,Mar 2014,Mar 2015,Mixed,Growth Funded by Debt
M&M,Mar 2018,Mar 2019,Growth Funded by Debt,Mixed
M&M,Mar 2020,Mar 2021,Mixed,Growth Funded by Debt
M&M,Mar 2021,Mar 2022,Growth Funded by Debt,Reinvestor
M&M,Mar 2022,Mar 2023,Reinvestor,Mixed
MOTHERSON,Mar 2014,Mar 2015,Reinvestor,Growth Funded by Debt
MOTHERSON,Mar 2015,Mar 2016,Growth Funded by Debt,Reinvestor
MOTHERSON,Mar 2016,Mar 2017,Reinvestor,Growth Funded by Debt
MOTHERSON,Mar 2017,Mar 2018,Growth Funded by Debt,Reinvestor
MOTHERSON,Mar 2023,Mar 2024,Reinvestor,Growth Funded by Debt
NAUKRI,Mar 2013,Mar 2014,Reinvestor,Growth Funded by Debt
NAUKRI,Mar 2015,Mar 2016,Growth Funded by Debt,Reinvestor
NAUKRI,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
NAUKRI,Mar 2020,Mar 2021,Liquidating Assets,Growth Funded by Debt
NESTLEIND,Dec 2018,Dec 2019,Reinvestor,Liquidating Assets
NESTLEIND,Dec 2019,Dec 2020,Liquidating Assets,Reinvestor
NHPC,Mar 2019,Mar 2020,Reinvestor,Growth Funded by Debt
NHPC,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
NTPC,Mar 2013,Mar 2014,Growth Funded by Debt,Reinvestor
NTPC,Mar 2016,Mar 2017,Reinvestor,Growth Funded by Debt
NTPC,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
ONGC,Mar 2013,Mar 2014,Reinvestor,Growth Funded by Debt
ONGC,Mar 2014,Mar 2015,Growth Funded by Debt,Reinvestor
ONGC,Mar 2017,Mar 2018,Reinvestor,Growth Funded by Debt
ONGC,Mar 2018,Mar 2019,Growth Funded by Debt,Reinvestor
PFC,Mar 2014,Mar 2015,Distress Signal,Mixed
PFC,Mar 2016,Mar 2017,Mixed,Growth Funded by Debt
PFC,Mar 2017,Mar 2018,Growth Funded by Debt,Distress Signal
PFC,Mar 2018,Mar 2019,Distress Signal,Mixed
PFC,Mar 2020,Mar 2021,Mixed,Distress Signal
PFC,Mar 2021,Mar 2022,Distress Signal,Reinvestor
PFC,Mar 2022,Mar 2023,Reinvestor,Mixed
PIDILITIND,Mar 2016,Mar 2017,Reinvestor,Growth Funded by Debt
PIDILITIND,Mar 2017,Mar 2018,Growth Funded by Debt,Liquidating Assets
PIDILITIND,Mar 2018,Mar 2019,Liquidating Assets,Reinvestor
PIDILITIND,Mar 2019,Mar 2020,Reinvestor,Liquidating Assets
PIDILITIND,Mar 2020,Mar 2021,Liquidating Assets,Reinvestor
PNB,Mar 2013,Mar 2014,Pre-Revenue,Growth Funded by Debt
PNB,Mar 2016,Mar 2017,Growth Funded by Debt,Liquidating Assets
PNB,Mar 2017,Mar 2018,Liquidating Assets,Distress Signal
PNB,Mar 2018,Mar 2019,Distress Signal,Mixed
PNB,Mar 2020,Mar 2021,Mixed,Growth Funded by Debt
PNB,Mar 2023,Mar 2024,Growth Funded by Debt,Mixed
POWERGRID,Mar 2018,Mar 2019,Growth Funded by Debt,Reinvestor
POWERGRID,Mar 2021,Mar 2022,Reinvestor,Liquidating Assets
POWERGRID,Mar 2022,Mar 2023,Liquidating Assets,Reinvestor
RECLTD,Mar 2015,Mar 2016,Distress Signal,Mixed
RECLTD,Mar 2016,Mar 2017,Mixed,Reinvestor
RECLTD,Mar 2017,Mar 2018,Reinvestor,Distress Signal
RECLTD,Mar 2021,Mar 2022,Distress Signal,Mixed
RELIANCE,Mar 2015,Mar 2016,Growth Funded by Debt,Reinvestor
RELIANCE,Mar 2016,Mar 2017,Reinvestor,Growth Funded by Debt
RELIANCE,Mar 2017,Mar 2018,Growth Funded by Debt,Reinvestor
RELIANCE,Mar 2018,Mar 2019,Reinvestor,Growth Funded by Debt
RELIANCE,Mar 2019,Mar 2020,Growth Funded by Debt,Reinvestor
RELIANCE,Mar 2020,Mar 2021,Reinvestor,Growth Funded by Debt
RELIANCE,Mar 2023,Mar 2024,Growth Funded by Debt,Reinvestor
SBILIFE,Mar 2020,Mar 2021,Reinvestor,Growth Funded by Debt
SBILIFE,Mar 2021,Mar 2022,Growth Funded by Debt,Reinvestor
SBIN,Mar 2013,Mar 2014,Reinvestor,Growth Funded by Debt
SBIN,Mar 2014,Mar 2015,Growth Funded by Debt,Reinvestor
SBIN,Mar 2015,Mar 2016,Reinvestor,Growth Funded by Debt
SBIN,Mar 2016,Mar 2017,Growth Funded by Debt,Reinvestor
SBIN,Mar 2017,Mar 2018,Reinvestor,Distress Signal
SBIN,Mar 2018,Mar 2019,Distress Signal,Cash Accumulator
SBIN,Mar 2019,Mar 2020,Cash Accumulator,Growth Funded by Debt
SBIN,Mar 2021,Mar 2022,Growth Funded by Debt,Reinvestor
SBIN,Mar 2022,Mar 2023,Reinvestor,Mixed
SBIN,Mar 2023,Mar 2024,Mixed,Reinvestor
SHREECEM,Mar 2017,Mar 2018,Reinvestor,Growth Funded by Debt
SHREECEM,Mar 2018,Mar 2019,Growth Funded by Debt,Reinvestor
SHREECEM,Mar 2019,Mar 2020,Reinvestor,Growth Funded by Debt
SHREECEM,Mar 2020,Mar 2021,Growth Funded by Debt,Reinvestor
SHRIRAMFIN,Mar 2017,Mar 2018,Mixed,Distress Signal
SHRIRAMFIN,Mar 2018,Mar 2019,Distress Signal,Mixed
SHRIRAMFIN,Mar 2022,Mar 2023,Mixed,Distress Signal
SHRIRAMFIN,Mar 2023,Mar 2024,Distress Signal,Mixed
SIEMENS,Sep 2017,Sep 2018,Liquidating Assets,Reinvestor
SIEMENS,Sep 2019,Sep 2020,Reinvestor,Liquidating Assets
SIEMENS,Sep 2020,Sep 2021,Liquidating Assets,Reinvestor
SUNPHARMA,Mar 2013,Mar 2014,Reinvestor,Growth Funded by Debt
SUNPHARMA,Mar 2014,Mar 2015,Growth Funded by Debt,Reinvestor
SUNPHARMA,Mar 2020,Mar 2021,Reinvestor,Liquidating Assets
SUNPHARMA,Mar 2021,Mar 2022,Liquidating Assets,Reinvestor
SUNPHARMA,Mar 2022,Mar 2023,Reinvestor,Growth Funded by Debt
SUNPHARMA,Mar 2023,Mar 2024,Growth Funded by Debt,Reinvestor
TATACONSUM,Mar 2013,Mar 2014,Cash Accumulator,Reinvestor
TATACONSUM,Mar 2015,Mar 2016,Reinvestor,Liquidating Assets
TATACONSUM,Mar 2017,Mar 2018,Liquidating Assets,Reinvestor
TATACONSUM,Mar 2018,Mar 2019,Reinvestor,Liquidating Assets
TATACONSUM,Mar 2019,Mar 2020,Liquidating Assets,Reinvestor
TATACONSUM,Mar 2023,Mar 2024,Reinvestor,Growth Funded by Debt
TATAMOTORS,Mar 2014,Mar 2015,Reinvestor,Growth Funded by Debt
TATAMOTORS,Mar 2015,Mar 2016,Growth Funded by Debt,Reinvestor
TATAMOTORS,Mar 2016,Mar 2017,Reinvestor,Growth Funded by Debt
TATAMOTORS,Mar 2021,Mar 2022,Growth Funded by Debt,Reinvestor
TATAPOWER,Mar 2016,Mar 2017,Reinvestor,Growth Funded by Debt
TATAPOWER,Mar 2017,Mar 2018,Growth Funded by Debt,Reinvestor
